受注日,顧客名,担当者,品名,数量,単価,売上,ステータス,備考
2026-01-15,荒山商事,佐藤,ノートPC,3,98000,294000,出荷済,
2026-01-09,西川電機,山田,モニター,5,24000,120000,見積提出,急ぎ
2026-02-02,中央物流,伊藤,キーボード,12,3800,45600,受注,
2026-01-28,東西建設,鈴木,マウス,20,2100,42000,出荷済,
,,,,,,,,
2026-02-10,西部食品,佐藤,Webカメラ,4,7200,28800,請求済,
2026-01-13,流田医院,高橋,タブレット,6,56000,336000,受注,至急確認中
2026-02-05,三和印刷,山田,プリンター,2,44800,89600,見積提出,
2026-01-20,タリエ工業,鈴木,SSD 1TB,10,11800,118000,出荷済,
2026-02-12,未来学舎,高橋,Wi-Fiルーター,8,9800,78400,受注,
,,,,,,,,
2026-01-07,ABC企業,伊藤,USBハブ,15,2500,37500,請求済,
2026-02-18,新光モール,佐藤,ノートPC,2,105000,210000,見積提出,役員確認待ち
2026-01-24,大和設備,山田,モニター,7,22000,154000,出荷済,
